Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
Sulaiman M.H.; Mustaffa Z.; Saealal M.S.; Saari M.M.; Ahmad A.Z.,"Sulaiman, Mohd Herwan (55336854400); Mustaffa, Zuriani (54789967400); Saealal, Muhammad Salihin (36198791300); Saari, Mohd Mawardi (57220107330); Ahmad, Abu Zaharin (55566005900)",55336854400; 54789967400; 36198791300; 57220107330; 55566005900,Utilizing the Kolmogorov-Arnold Networks for chiller energy consumption prediction in commercial building,2024,Journal of Building Engineering,96,,110475,,,,46,10.1016/j.jobe.2024.110475,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201614070&doi=10.1016%2fj.jobe.2024.110475&partnerID=40&md5=f35283ef476e42bc0719c02dd34a5d12,Article,Final,,Scopus,2-s2.0-85201614070
Suhaimi N.S.; Saari M.M.; Ahmad H.; Mohamed M.R.; Che Lah N.A.,"Suhaimi, Nazatul Sharreena (57211346068); Saari, Mohd Mawardi (57220107330); Ahmad, Hamzah (35304432800); Mohamed, Mohd Rusllim (15072061400); Che Lah, Nurul Akmal (37055955600)",57211346068; 57220107330; 35304432800; 15072061400; 37055955600,A resonant type AC magnetometer for evaluation of magnetic nanoparticles,2018,Lecture Notes in Mechanical Engineering,0,9.78981E+12,,93,99,6,1,10.1007/978-981-10-8788-2_9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046245564&doi=10.1007%2f978-981-10-8788-2_9&partnerID=40&md5=cb763ce5bc293876781509c463fc9984,Book chapter,Final,,Scopus,2-s2.0-85046245564
Sulaiman M.H.; Mustaffa Z.; Mohamad A.J.; Saari M.M.; Mohamed M.R.,"Sulaiman, Mohd Herwan (55336854400); Mustaffa, Zuriani (54789967400); Mohamad, Ahmad Johari (55661950400); Saari, Mohd Mawardi (57220107330); Mohamed, Mohd Rusllim (15072061400)",55336854400; 54789967400; 55661950400; 57220107330; 15072061400,Optimal power flow with stochastic solar power using barnacles mating optimizer,2021,International Transactions on Electrical Energy Systems,31,5,e12858,,,,33,10.1002/2050-7038.12858,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104927542&doi=10.1002%2f2050-7038.12858&partnerID=40&md5=8b7fa98bca2430c2392ca76b59bd2ef6,Article,Final,,Scopus,2-s2.0-85104927542
Sulaiman M.H.; Mustaffa Z.; Saari M.M.; Ibrahim O.,"Sulaiman, Mohd Herwan (55336854400); Mustaffa, Zuriani (54789967400); Saari, Mohd Mawardi (57220107330); Ibrahim, Oladimeji (56888507100)",55336854400; 54789967400; 57220107330; 56888507100,Wind power generation prediction utilizing Kolmogorov-Arnold networks,2025,Engineering Research Express,7,2,25335,,,,2,10.1088/2631-8695/add0f8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005145414&doi=10.1088%2f2631-8695%2fadd0f8&partnerID=40&md5=c4657506cb32a5feb2fc2f94d120931d,Article,Final,,Scopus,2-s2.0-105005145414
Zaini M.A.H.P.; Saari M.M.; Nadzri N.A.; Aziz Z.,"Zaini, Mohd Aufa Hadi Putera (57207994127); Saari, Mohd Mawardi (57220107330); Nadzri, Nurul A'in (57201859397); Aziz, Zulkifly (57220106807)",57207994127; 57220107330; 57201859397; 57220106807,Detection of crack on a mild steel plate by using a magnetic probe incorporating an array of fluxgate sensors,2023,Materials Today: Proceedings,109,,,74,80,6,5,10.1016/j.matpr.2023.06.428,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178900305&doi=10.1016%2fj.matpr.2023.06.428&partnerID=40&md5=51e0e9ca262d28c00ad630cc0eee9111,Conference paper,Final,,Scopus,2-s2.0-85178900305
Nadzri N.A.; Saari M.M.; Zaini M.A.H.P.; Halil A.M.; Ishak M.; Tsukada K.,"Nadzri, Nurul A’in (57201859397); Saari, Mohd Mawardi (57220107330); Zaini, Mohd Aufa Hadi Putera (57207994127); Halil, Aiman Mohd (57192875407); Ishak, Mahadzir (55545861661); Tsukada, Keiji (7201442097)",57201859397; 57220107330; 57207994127; 57192875407; 55545861661; 7201442097,Anisotropy magnetoresistance differential probe for characterization of sub-millimeter surface defects on galvanized steel plate,2021,Measurement and Control (United Kingdom),54,9-Oct,,1273,1285,12,9,10.1177/00202940211028618,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110252171&doi=10.1177%2f00202940211028618&partnerID=40&md5=727471a5bcfaf4cfaaf2d9ffd1264073,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85110252171
Ahmad H.; Mohamad Pajeri A.N.F.; Othman N.A.; Saari M.M.; Ramli M.S.,"Ahmad, Hamzah (35304432800); Mohamad Pajeri, Ahmad Nuur Fakhrullah (57208002888); Othman, Nur Aqilah (56028974800); Saari, Mohd Mawardi (57220107330); Ramli, Mohd Syakirin (26435494400)",35304432800; 57208002888; 56028974800; 57220107330; 26435494400,Analysis of Mobile Robot Path Planning with Artificial Potential Fields,2019,Lecture Notes in Electrical Engineering,538,,,181,196,15,3,10.1007/978-981-13-3708-6_16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063513121&doi=10.1007%2f978-981-13-3708-6_16&partnerID=40&md5=6f45a808202c3255087af5fa1cc9d3dd,Conference paper,Final,,Scopus,2-s2.0-85063513121
Ahmad H.; Othman N.A.; Saari M.M.; Ramli M.S.; Mazlan M.B.M.; Namerikawa T.,"Ahmad, Hamzah (35304432800); Othman, Nur Aqilah (56028974800); Saari, Mohd Mawardi (57220107330); Ramli, Mohd Syakirin (26435494400); Mazlan, Maziatun Binti Mohamad (57207471240); Namerikawa, T. (6701872937)",35304432800; 56028974800; 57220107330; 26435494400; 57207471240; 6701872937,A hypothesis of state covariance decorrelation effects to partial observability SLAM,2019,Indonesian Journal of Electrical Engineering and Computer Science,14,2,,588,596,8,5,10.11591/ijeecs.v14.i2.pp588-596,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062548806&doi=10.11591%2fijeecs.v14.i2.pp588-596&partnerID=40&md5=aa1333046c5b0f4f5cc239183b775135,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85062548806
Zaini M.A.H.P.; Saari M.M.; Nadzri N.A.; Halil A.M.; Hanifah A.J.S.; Tsukada K.,"Zaini, M.A.H.P. (57207994127); Saari, M.M. (57220107330); Nadzri, N.A. (57201859397); Halil, A.M. (57192875407); Hanifah, A.J.S. (57216314454); Tsukada, K. (7201442097)",57207994127; 57220107330; 57201859397; 57192875407; 57216314454; 7201442097,Evaluation of back-side slits with sub-millimeter resolution using a differential amr probe,2021,Lecture Notes in Electrical Engineering,666,,,319,328,9,2,10.1007/978-981-15-5281-6_22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088537357&doi=10.1007%2f978-981-15-5281-6_22&partnerID=40&md5=064df86dee67f1079ed8920fe43a83a6,Conference paper,Final,,Scopus,2-s2.0-85088537357
Zaini M.A.H.P.; Saari M.M.; Nadzri N.A.; Halil A.M.; Hanifah A.J.S.; Ishak M.,"Zaini, M.A.H.P. (57207994127); Saari, M.M. (57220107330); Nadzri, N.A. (57201859397); Halil, A.M. (57192875407); Hanifah, A.J.S. (57216314454); Ishak, M. (55545861661)",57207994127; 57220107330; 57201859397; 57192875407; 57216314454; 55545861661,Effect of Excitation Frequency on Magnetic Response Induced by Front- and Back-Side Slits Measured by a Differential AMR Sensor Probe,2020,Lecture Notes in Electrical Engineering,632,,,15,24,9,2,10.1007/978-981-15-2317-5_2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083079049&doi=10.1007%2f978-981-15-2317-5_2&partnerID=40&md5=06b0eaf643fc304cb42774ed0471f75c,Conference paper,Final,,Scopus,2-s2.0-85083079049
