"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Aziz Z.; Saari M.M.; Zaini M.A.H.P.; Nadzri N.A.; Yee C.S.","Aziz, Zulkifly (57220106807); Saari, Mohd Mawardi (57220107330); Zaini, Mohd Aufa Hadi Putera (57207994127); Nadzri, Nurul A'In (57201859397); Yee, Chin Sim (56374296600)","57220106807; 57220107330; 57207994127; 57201859397; 56374296600","Mutual Inductance Estimation for Asymmetrical Coupler with Multiple Transmit Coils","2022","2022 IEEE 18th International Colloquium on Signal Processing and Applications, CSPA 2022 - Proceeding","","","","182","186","4","0","10.1109/CSPA55076.2022.9781866","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132752129&doi=10.1109%2fCSPA55076.2022.9781866&partnerID=40&md5=27d5470fd32bcc37f286b40ccfa0f500","Conference paper","Final","","Scopus","2-s2.0-85132752129"
"Nadzri N.A.; Mawardi Saari M.; Hadi Putera Zaini M.A.; Huda Ramlan N.; Ab Aziz Z.; Mohd Halil A.","Nadzri, Nurul A'in (57201859397); Mawardi Saari, Mohd (57220107330); Hadi Putera Zaini, Mohd Aufa (57207994127); Huda Ramlan, Nur (56453249000); Ab Aziz, Zulkifly (57220106807); Mohd Halil, Aiman (57192875407)","57201859397; 57220107330; 57207994127; 56453249000; 57220106807; 57192875407","Development of ECT Probe for Back Side Crack Evaluation","2020","2020 11th IEEE Control and System Graduate Research Colloquium, ICSGRC 2020 - Proceedings","","","9232475","5","9","4","2","10.1109/ICSGRC49013.2020.9232475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096935099&doi=10.1109%2fICSGRC49013.2020.9232475&partnerID=40&md5=9c3944716bdd4e6223927630828e8041","Conference paper","Final","","Scopus","2-s2.0-85096935099"
"Nadzri N.A.; Ashraf S.; Saari M.M.","Nadzri, Nurul A’in (57201859397); Ashraf, Shameed (14021095500); Saari, Mohd Mawardi (57220107330)","57201859397; 14021095500; 57220107330","Flow properties of cement blend additives: particle size and density effects","2025","Engineering Research Express","7","4","045004","","","","0","10.1088/2631-8695/ae0f78","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019757685&doi=10.1088%2f2631-8695%2fae0f78&partnerID=40&md5=ea2fe3b7819ba87eb92689e991faee4f","Article","Final","","Scopus","2-s2.0-105019757685"
"Nadzri N.A.; Hoe C.K.; Saari M.M.; Razali S.; Daud M.R.; Ahmad H.","Nadzri, Nurul A’in (57201859397); Hoe, Chai Kar (57201849873); Saari, Mohd Mawardi (57220107330); Razali, Saifuddin (36810405400); Daud, Mohd Razali (57004537100); Ahmad, Hamzah (35304432800)","57201859397; 57201849873; 57220107330; 36810405400; 57004537100; 35304432800","Vehicle detection system using tunnel magnetoresistance sensor","2018","Lecture Notes in Mechanical Engineering","0","9789811087875","","547","555","8","2","10.1007/978-981-10-8788-2_49","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046302803&doi=10.1007%2f978-981-10-8788-2_49&partnerID=40&md5=696617bdb0e51d255cceac437241b872","Book chapter","Final","","Scopus","2-s2.0-85046302803"
"Hadi Putera Zaini M.A.; Mawardi Saari M.; Nadzri N.A.; Ab Aziz Z.; Halil A.M.; Jamil Sulaiman Hanifah A.","Hadi Putera Zaini, Mohd Aufa (57207994127); Mawardi Saari, Mohd (57220107330); Nadzri, Nurul A'in (57201859397); Ab Aziz, Zulkifly (57220106807); Halil, Aiman Mohd (57192875407); Jamil Sulaiman Hanifah, Ahmad (57220103046)","57207994127; 57220107330; 57201859397; 57220106807; 57192875407; 57220103046","Development of an Unsaturated Differential Magnetic Probe for the Visualization of Back-side Slits with Different Directions on Carbon Steel Plate","2020","2020 11th IEEE Control and System Graduate Research Colloquium, ICSGRC 2020 - Proceedings","","","9232487","1","4","3","3","10.1109/ICSGRC49013.2020.9232487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096926089&doi=10.1109%2fICSGRC49013.2020.9232487&partnerID=40&md5=5cd8eedecec03550f7133e31ac7c5858","Conference paper","Final","","Scopus","2-s2.0-85096926089"
"Zaini M.A.H.P.; Saari M.M.; Nadzri N.A.; Aziz Z.","Zaini, Mohd Aufa Hadi Putera (57207994127); Saari, Mohd Mawardi (57220107330); Nadzri, Nurul A'in (57201859397); Aziz, Zulkifly (57220106807)","57207994127; 57220107330; 57201859397; 57220106807","Detection of crack on a mild steel plate by using a magnetic probe incorporating an array of fluxgate sensors","2023","Materials Today: Proceedings","109","","","74","80","6","5","10.1016/j.matpr.2023.06.428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178900305&doi=10.1016%2fj.matpr.2023.06.428&partnerID=40&md5=51e0e9ca262d28c00ad630cc0eee9111","Conference paper","Final","","Scopus","2-s2.0-85178900305"
"Nadzri N.A.; Saari M.M.; Zaini M.A.H.P.; Halil A.M.; Ishak M.; Tsukada K.","Nadzri, Nurul A’in (57201859397); Saari, Mohd Mawardi (57220107330); Zaini, Mohd Aufa Hadi Putera (57207994127); Halil, Aiman Mohd (57192875407); Ishak, Mahadzir (55545861661); Tsukada, Keiji (7201442097)","57201859397; 57220107330; 57207994127; 57192875407; 55545861661; 7201442097","Anisotropy magnetoresistance differential probe for characterization of sub-millimeter surface defects on galvanized steel plate","2021","Measurement and Control (United Kingdom)","54","9-10","","1273","1285","12","9","10.1177/00202940211028618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110252171&doi=10.1177%2f00202940211028618&partnerID=40&md5=727471a5bcfaf4cfaaf2d9ffd1264073","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85110252171"
"Zaini M.A.H.P.; Saari M.M.; Yusdi U.S.M.; Nadzri N.A.; Aziz Z.","Zaini, Mohd Aufa Hadi Putera (57207994127); Saari, Mohd Mawardi (57220107330); Yusdi, Ummi Sabihah Mohd (58764154900); Nadzri, Nurul A’In (57201859397); Aziz, Zulkifly (57220106807)","57207994127; 57220107330; 58764154900; 57201859397; 57220106807","A Differential Fluxgate Probe for Metal Loss Assessment Due to Corrosion","2024","Lecture Notes in Electrical Engineering","1212 LNEE","","","187","198","11","0","10.1007/978-981-97-3847-2_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004721226&doi=10.1007%2f978-981-97-3847-2_17&partnerID=40&md5=f7bcbe23e3f663f117e29ed7c47349b5","Conference paper","Final","","Scopus","2-s2.0-105004721226"
"Aziz Z.; Saari M.M.; Zaini M.A.H.P.; Nadzri N.A.; Chin S.Y.","Aziz, Zulkifly (57220106807); Saari, Mohd Mawardi (57220107330); Zaini, Mohd Aufa Hadi Putera (57207994127); Nadzri, Nurul A'in (57201859397); Chin, Sim Yee (56374296600)","57220106807; 57220107330; 57207994127; 57201859397; 56374296600","Improved wireless LED-based light emitters for photocatalytic oxidation in a slurry annular reactor; [Udoskonalone bezprzewodowe emitery światła oparte na diodach LED do fotokatalitycznego utleniania w zawiesinowym pierścieniowym reaktorze]","2023","Przeglad Elektrotechniczny","2023","8","","170","174","4","0","10.15199/48.2023.08.30","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172369567&doi=10.15199%2f48.2023.08.30&partnerID=40&md5=a30404fcea4f5e571db7a6a3d33bf772","Article","Final","","Scopus","2-s2.0-85172369567"
"Zaini M.A.H.P.; Saari M.M.; Nadzri N.A.; Halil A.M.; Hanifah A.J.S.; Tsukada K.","Zaini, M.A.H.P. (57207994127); Saari, M.M. (57220107330); Nadzri, N.A. (57201859397); Halil, A.M. (57192875407); Hanifah, A.J.S. (57216314454); Tsukada, K. (7201442097)","57207994127; 57220107330; 57201859397; 57192875407; 57216314454; 7201442097","Evaluation of back-side slits with sub-millimeter resolution using a differential amr probe","2021","Lecture Notes in Electrical Engineering","666","","","319","328","9","2","10.1007/978-981-15-5281-6_22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088537357&doi=10.1007%2f978-981-15-5281-6_22&partnerID=40&md5=064df86dee67f1079ed8920fe43a83a6","Conference paper","Final","","Scopus","2-s2.0-85088537357"
